Ranking;Score_ROI_Medio;Acertos_11;Acertos_12;Acertos_13;Acertos_14;Acertos_15;Matriz_IA_20_Dezenas
41;52.18;14913;2983;288;11;1;1, 3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25
42;52.17;14658;2894;239;13;1;1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24
43;52.15;14844;2911;258;12;1;1, 2, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25
44;52.08;15080;3051;277;10;1;1, 2, 3, 6, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25
45;52.03;14624;2815;255;13;1;2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 24, 25
46;52.0;14655;2831;237;13;1;1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24
47;52.0;14454;2802;222;14;1;2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 25
48;51.97;14709;2820;226;13;1;1, 3, 4, 5, 6, 7, 9, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
49;51.94;14158;2729;234;15;1;1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24
50;51.9;14388;2816;280;13;1;1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25
